cut,clarity,color,carat,price_per_carat
Fair,I1,D,0.91,2737.362637362637
Fair,I1,D,1.5,3640.0
Fair,I1,D,1.7,3304.1176470588234
Fair,I1,D,3.4,4695.294117647059
Fair,I1,E,0.7,1818.5714285714287
Fair,I1,E,0.74,2520.2702702702704
Fair,I1,E,0.8,1540.0
Fair,I1,E,1.01,2015.8415841584158
Fair,I1,E,1.3,1977.6923076923076
Fair,I1,F,0.34,6352.941176470587
Fair,I1,F,0.5,1330.3333333333333
Fair,I1,F,0.58,1539.6551724137933
Fair,I1,F,0.7,1479.2857142857144
Fair,I1,F,0.73,1586.3013698630136
Fair,I1,F,0.91,1725.2747252747251
Fair,I1,F,0.96,1996.875
Fair,I1,F,0.97,1842.2680412371135
Fair,I1,F,1.0,2280.0
Fair,I1,F,1.2,2262.916666666667
Fair,I1,F,1.33,3532.330827067669
Fair,I1,F,1.45,2979.3103448275865
Fair,I1,F,1.51,2472.8476821192053
Fair,I1,F,1.96,2833.673469387755
Fair,I1,F,2.0,3629.0
Fair,I1,F,2.11,3326.5402843601896
Fair,I1,G,0.5,1454.0
Fair,I1,G,0.7,1443.2857142857144
Fair,I1,G,0.72,1593.0555555555557
Fair,I1,G,0.8,2143.75
Fair,I1,G,0.85,1942.3529411764707
Fair,I1,G,0.9,2566.6666666666665
Fair,I1,G,0.98,1834.3537414965988
Fair,I1,G,1.0,2560.5
Fair,I1,G,1.01,2264.3564356435645
Fair,I1,G,1.51,2759.6026490066224
Fair,I1,G,1.64,2956.707317073171
Fair,I1,G,2.01,3141.7910447761196
Fair,I1,G,2.02,3141.5841584158416
Fair,I1,G,2.03,3141.379310344828
Fair,I1,G,2.07,3141.545893719807
Fair,I1,G,2.1,3141.428571428571
Fair,I1,G,2.17,3141.47465437788
Fair,I1,G,2.25,3141.777777777778
Fair,I1,G,2.27,3141.409691629956
Fair,I1,G,2.31,3141.5584415584417
Fair,I1,G,2.5,3313.0
Fair,I1,G,2.52,3998.4126984126983
Fair,I1,H,0.7,1625.7142857142858
Fair,I1,H,0.85,1528.6274509803923
Fair,I1,H,0.9,1953.3333333333333
Fair,I1,H,0.96,1811.7559523809525
Fair,I1,H,1.02,2940.1960784313724
Fair,I1,H,1.05,2183.809523809524
Fair,I1,H,1.19,2430.2521008403364
Fair,I1,H,1.29,2012.4031007751937
Fair,I1,H,1.3,1932.3076923076922
Fair,I1,H,1.32,3136.363636363636
Fair,I1,H,1.47,3331.9727891156463
Fair,I1,H,1.5,3198.6666666666665
Fair,I1,H,1.51,2493.3774834437086
Fair,I1,H,1.52,2807.017543859649
Fair,I1,H,1.82,3292.8571428571427
Fair,I1,H,2.0,3494.5
Fair,I1,H,2.03,2956.650246305419
Fair,I1,H,2.14,2957.009345794392
Fair,I1,H,2.22,2956.7567567567567
Fair,I1,H,2.25,2956.8888888888887
Fair,I1,H,2.32,2956.896551724138
Fair,I1,H,3.01,3575.0830564784055
Fair,I1,H,4.13,4195.883777239709
Fair,I1,I,0.7,1543.5714285714287
Fair,I1,I,0.73,1523.2876712328766
Fair,I1,I,0.9,1984.4444444444443
Fair,I1,I,0.97,2429.896907216495
Fair,I1,I,1.0,1920.0
Fair,I1,I,1.01,2318.8118811881186
Fair,I1,I,1.04,1958.6538461538462
Fair,I1,I,1.05,2281.904761904762
Fair,I1,I,1.06,2112.264150943396
Fair,I1,I,1.17,2252.5641025641025
Fair,I1,I,1.2,2244.5833333333335
Fair,I1,I,1.21,1980.1652892561983
Fair,I1,I,1.5,3136.0
Fair,I1,I,1.51,3584.1059602649
Fair,I1,I,1.96,3136.2244897959185
Fair,I1,I,2.0,2833.5
Fair,I1,I,2.01,2833.8308457711446
Fair,I1,I,2.2,3606.363636363636
Fair,I1,I,3.02,3502.317880794702
Fair,I1,J,0.85,1569.4117647058824
Fair,I1,J,0.95,2444.2105263157896
Fair,I1,J,0.99,1863.6363636363637
Fair,I1,J,1.0,1784.0
Fair,I1,J,1.2,2509.166666666667
Fair,I1,J,1.5,2856.0
Fair,I1,J,1.72,3046.5116279069766
Fair,I1,J,1.81,3237.016574585635
Fair,I1,J,1.83,2777.5956284153003
Fair,I1,J,2.0,3398.0
Fair,I1,J,2.14,2525.700934579439
Fair,I1,J,2.15,2525.5813953488373
Fair,I1,J,2.22,2525.6756756756754
Fair,I1,J,2.27,2525.5506607929515
Fair,I1,J,2.49,2525.70281124498
Fair,I1,J,2.74,3214.2335766423357
Fair,I1,J,3.11,3158.5209003215436
Fair,I1,J,4.5,4118.0
Fair,IF,D,0.3,4026.666666666667
Fair,IF,D,0.37,3891.891891891892
Fair,IF,D,0.47,4704.255319148936
Fair,IF,F,0.37,3151.3513513513512
Fair,IF,F,0.71,4514.084507042254
Fair,IF,G,0.39,2889.74358974359
Fair,IF,G,0.52,3555.7692307692305
Fair,SI1,D,0.4,1610.0
Fair,SI1,D,0.42,1607.142857142857
Fair,SI1,D,0.5,2584.0
Fair,SI1,D,0.51,2556.8627450980393
Fair,SI1,D,0.7,3321.4285714285716
Fair,SI1,D,0.71,3102.8169014084506
Fair,SI1,D,0.72,3283.3333333333335
Fair,SI1,D,0.75,3168.0
Fair,SI1,D,0.9,4180.555555555556
Fair,SI1,D,0.91,4144.688644688645
Fair,SI1,D,1.0,4834.666666666667
Fair,SI1,D,1.01,4949.801980198021
Fair,SI1,D,1.02,4311.764705882353
Fair,SI1,D,1.24,5879.8387096774195
Fair,SI1,D,1.5,6916.0
Fair,SI1,D,2.0,7770.0
Fair,SI1,D,2.02,8111.881188118812
Fair,SI1,E,0.3,2100.0
Fair,SI1,E,0.31,1867.741935483871
Fair,SI1,E,0.39,1541.0256410256409
Fair,SI1,E,0.47,1762.7659574468087
Fair,SI1,E,0.5,2232.0
Fair,SI1,E,0.51,2627.450980392157
Fair,SI1,E,0.53,2499.056603773585
Fair,SI1,E,0.56,2424.9999999999995
Fair,SI1,E,0.57,2426.3157894736846
Fair,SI1,E,0.58,2829.3103448275865
Fair,SI1,E,0.64,2707.8125
Fair,SI1,E,0.7,3182.8571428571427
Fair,SI1,E,0.71,3312.6760563380285
Fair,SI1,E,0.72,3469.444444444445
Fair,SI1,E,0.73,3173.972602739726
Fair,SI1,E,0.74,2795.945945945946
Fair,SI1,E,0.8,3606.25
Fair,SI1,E,0.9,4111.944444444444
Fair,SI1,E,0.91,4676.923076923077
Fair,SI1,E,0.92,4287.5
Fair,SI1,E,1.0,4453.0
Fair,SI1,E,1.01,4543.366336633663
Fair,SI1,E,1.02,5569.607843137255
Fair,SI1,E,1.03,5460.194174757281
Fair,SI1,E,1.08,4435.185185185185
Fair,SI1,E,1.1,3537.272727272727
Fair,SI1,E,1.5,7418.666666666667
Fair,SI1,E,1.51,6612.913907284768
Fair,SI1,E,1.54,8169.480519480519
Fair,SI1,E,2.0,7665.0
Fair,SI1,F,0.29,6124.137931034483
Fair,SI1,F,0.3,1825.0
Fair,SI1,F,0.32,1993.75
Fair,SI1,F,0.4,2142.5
Fair,SI1,F,0.45,1764.4444444444443
Fair,SI1,F,0.46,2180.4347826086955
Fair,SI1,F,0.48,2070.8333333333335
Fair,SI1,F,0.5,2119.0
